título,años,reparto,ranking,valoración,votaciones
Réquiem por un sueño,2000,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto",84,8.28,842658
3 Idiots,2009,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan",85,8.27,401315
Cantando bajo la lluvia,1952,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor",86,8.27,243640
Toy Story 3,2010,"Lee Unkrich (dir.), Tom Hanks, Tim Allen",87,8.27,836423
El infierno del odio,1963,"Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada",88,8.27,45655
El retorno del jedi,1983,"Richard Marquand (dir.), Mark Hamill, Harrison Ford",89,8.27,1053474
Cafarnaúm,2018,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw",90,8.26,90515
¡Olvídate de mí!,2004,"Michel Gondry (dir.), Jim Carrey, Kate Winslet",91,8.26,1007735
,1968,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood",92,8.26,669776
Reservoir Dogs,1992,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth",93,8.26,1017966
La caza,2012,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen",94,8.26,331423
Masacre (Ven y mira),1985,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova",95,8.26,80955
Ciudadano Kane,1941,"Orson Welles (dir.), Orson Welles, Joseph Cotten",96,8.25,443307
"M, el vampiro de Düsseldorf",1931,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann",97,8.25,159004
Lawrence de Arabia,1962,"David Lean (dir.), Peter O'Toole, Alec Guinness",98,8.25,295034
Con la muerte en los talones,1959,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint",99,8.25,329243
Vértigo (De entre los muertos),1958,"Alfred Hitchcock (dir.), James Stewart, Kim Novak",100,8.24,403558
Amelie,2001,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz",101,8.24,757647
La naranja mecánica,1971,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee",102,8.24,830706
El apartamento,1960,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine",103,8.24,182709
Ikiru (Vivir),1952,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko",104,8.24,79368
Perdición,1944,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck",105,8.24,158402
La chaqueta metálica,1987,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey",106,8.24,743589
Hamilton,2020,"Thomas Kail (dir.), Lin-Manuel Miranda, Phillipa Soo",107,8.24,95230
El precio del poder,1983,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer",108,8.24,841401
Matar a un ruiseñor,1962,"Robert Mulligan (dir.), Gregory Peck, John Megna",109,8.23,317780
El golpe,1973,"George Roy Hill (dir.), Paul Newman, Robert Redford",110,8.23,263509
Incendios,2010,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin",111,8.23,178856
Up,2009,"Pete Docter (dir.), Edward Asner, Jordan Nagai",112,8.22,1043522
Heat,1995,"Michael Mann (dir.), Al Pacino, Robert De Niro",113,8.22,655445
